Categories,,Zejian,,,,,Ari,,,,,Will,,,
Genre,,Genre,Location,Decades,Characteristic,,Genre,Location,Decades,Characteristic,,Genre,Location,Decades,Characteristic
Location,,rock,International,90s,ambient,,rock,international,90s,ambient,,electronica,japanese,70s,female vocalists
Decades,,ambient,latin pop,80s,lounge,,jazz funk,latin pop,80s,cool,,electronic,international,80s,jazz instrument
Characteristic / Descriptor,,jazz funk,swedish,00s,cool,,lounge,swedish,00s,hardcore,,jazz,latin pop,90s,guitar
,,lounge,brazilian traditions,70s,hardcore,,alternative pop rock,brazilian traditions,70s,mellow,,guitar jazz,latin,00s,ambient
,,alternative pop rock,latin,,mellow,,acid jazz,latin,,female vocalists,,blues,brazilian traditions,,lounge
,,indie rock,dutch,,jazz instrument,,indie rock,dutch,,chill,,funk,swedish,,mellow
,,acid jazz,japanese,,female vocalists,,jazz instrument,japanese,,guitar,,punk revival,dutch,,chill
,,latin pop,,,guitar jazz,,progressive metal,,,chillout,,pop,,,chillout
,,hardcore,,,chill,,rock nroll,,,,,jazz pop,,,cool
,,mellow,,,electronic,,punk revival,,,,,power pop,,,
,,progressive metal,,,guitar,,new wave,,,,,synthpop,,,
,,rock nroll,,,chillout,,electronica,,,,,rock,,,
,,punk revival,,,,,alternative,,,,,alternative pop rock,,,
,,new wave,,,,,alternative indie rock,,,,,indie rock,,,
,,electronica,,,,,hip hop,,,,,rock nroll,,,
,,alternative,,,,,power pop,,,,,garage rock,,,
,,alternative indie rock,,,,,post punk,,,,,punk rock,,,
,,hip hop,,,,,electronic,,,,,pop rock,,,
,,power pop,,,,,punk rock,,,,,hard rock,,,
,,post punk,,,,,guitar jazz,,,,,acid jazz,,,
,,electronic,,,,,jazz pop,,,,,progressive metal,,,
,,punk rock,,,,,blues,,,,,new wave,,,
,,jazz pop,,,,,heavy metal,,,,,alternative,,,
,,blues,,,,,pop ,,,,,alternative indie rock,,,
,,heavy metal,,,,,punk,,,,,jazz funk,,,
,,pop,,,,,garage rock,,,,,hardcore,,,
,,punk,,,,,synthpop,,,,,post punk,,,
,,garage rock,,,,,pop rock,,,,,heavy metal,,,
,,synthpop,,,,,hard rock,,,,,punk,,,
,,pop rock,,,,,jazz,,,,,hardcore punk,,,
,,funk,,,,,hardcore punk,,,,,hip hop,,,
,,hard rock,,,,,funk,,,,,,,,
,,jazz,,,,,,,,,,,,,
,,hardcore punk,,,,,,,,,,,,,