Songs,,Zejian,Feels like:,,,,Ari,Feels like:
TRAMJKW128F427AF3B,,1,jazz,,,,1,1: lounge
TRCJFHI128F9309528,,1,jazz,,,,2,2: alternative indie rock
TRCJJAD128F93283C5,,2,,1: jazz,,,3,3: new wave
TRDJFXL128F423B19A,,3,,2: pop,,,4,4: progressive metal
TRDPTMD128F429DA6E,,4,,3: rock,,,5,5: funk
TRDYBLM12903CB598F,,5,,4: funky,,,2,2: alternative indie rock
TRFDFZR12903CDDE30,,5,,5: indie/alternative,,,2,2: indie rock
TRFYJLC128F4213AB7,,2,,6: ambient,,,5,5: funk
TRHRUFL128F42B3ABE,,4,,,,,2,2: alternative pop rock
TRIQUPS128F42416A2,,3,,,,,4,4: punk rock
TRMGRLQ128F92DF4D5,,2,,,,,1,1: pop
TRNBQGJ128F933782A,,3,,,,,4,4: punk rock
TRNIRRJ128F1451DAF,,2,,,,,2,2: alternative indie rock
TRQVVKW128F426E054,,5,,,,,2,2: indie rock
TRTNJMJ128F425CC6D,,2,,,,,2,2: power pop
TRVYZLC128F4285BA1,,3,,,,,4,4:rock
TRXIIWM128F42831BD,,5,,,,,2,2: alternative indie rock
TRXPMKN128F1476D36,,6,,,,,3,3: latin pop
TRYMYFP12903CC401E,,6,,,,,5,5:ambient
,,,,,,,,
,,Group 1,Group 2,Group 3,,,,
,,jazz funk,latin pop,rock,,,,
,,acid jazz,hip hop,hardcore,,,,
,,jazz pop,power pop,progressive metal,,,,
,,jazz,jazz pop,rock nroll,,,,
,,blues,pop,punk revival,,,,
,,,synthpop,post punk,,,,
,,,pop rock,punk rock,,,,
,,,,punk,,,,
,,,,hard rock,,,,
,,,,hardcore punk,,,,
,,,,garage rock,,,,
,,,,,,,,
,,Group 4,Group 5,Group 6,Group 7,,,
,,funk,alternative pop rock,ambient,electronica,,,
,,,indie rock,lounge,electronic,,,
,,,new wave,mellow,,,,
,,,alternative,,,,,
,,,alternative indie rock,,,,,