Songs,,Zejian,,,Ari,,,Will,
TRAMJKW128F427AF3B,,1,1: chill,,1,ambient,,4,ambient
TRCJFHI128F9309528,,1,2: happy,,2,cool,,5,lounge
TRCJJAD128F93283C5,,2,3: hard,,3,female vocalists,,1,female vocalists
TRDJFXL128F423B19A,,3,4: rhythmic,,4,guitar,,3,guitar
TRDPTMD128F429DA6E,,4,5: dark,,4,guitar,,2,jazz instrument
TRDYBLM12903CB598F,,6,6: ?,,3,female vocalists,,1,female vocalists
TRFDFZR12903CDDE30,,5,,,4,guitar,,2,jazz instrument
TRFYJLC128F4213AB7,,6,,,3,mellow,,8,chillout
TRHRUFL128F42B3ABE,,2,,,2,cool,,7,chill
TRIQUPS128F42416A2,,3,,,4,guitar,,3,guitar
TRMGRLQ128F92DF4D5,,1,,,3,female vocalists,,1,female vocalists
TRNBQGJ128F933782A,,3,,,4,guitar,,2,jazz instrument
TRNIRRJ128F1451DAF,,1,,,2,cool,,8,chillout
TRQVVKW128F426E054,,6,,,4,guitar,,3,guitar
TRTNJMJ128F425CC6D,,2,,,3,female vocalists,,1,female vocalists
TRVYZLC128F4285BA1,,2,,,4,guitar,,9,cool
TRXIIWM128F42831BD,,1,,,2,cool,,8,chillout
TRXPMKN128F1476D36,,1,,,2,chill,,8,chillout
TRYMYFP12903CC401E,,1,,,1,ambient,,6,mellow
,,,,,,,,,
,,,,,,,,,
,1,female vocalists,,,,,,,
,2,jazz instrument,,,,,,,
,3,guitar,,,,,,,
,4,ambient,,,,,,,
,5,lounge,,,,,,,
,6,mellow,,,,,,,
,7,chill,,,,,,,
,8,chillout,,,,,,,
,9,cool,,,,,,,