Example clustering,,,Zejian's clustering (has <= 7 categories),,,,,,,Will's Clustering,,,,,,,,,,,Ari's Clustering (6 Categories),,,,,
Class 1,Class ...,Class N,Origin / Culture,Genre,Feeling / mood,Instrument,Era,,,Pop,Cultural,Calm,Rock,Older,70s,80s,90s,00s,,,Location-Based,Genre,Descriptor,Jazz,Electronic,Decades
tag 1,tag 2,tag 3,international,rock,cool,jazz instrument,90s,,,pop,japanese,ambient,rock,female vocalists,70s,80s,90s,00s,,,international,alternative pop rock,rock,jazz funk,electronica,90s
tag 4,,,swedish,ambient,chill,female vocalists,80s,,,jazz pop,international,lounge,alternative pop rock,blues,jazz funk,acid jazz,electronica,punk revival,,,latin pop,indie rock,ambient,acid jazz,new wave,80s
,,,brazilian traditions,jazz funk,chillout,guitar,00s,,,power pop,latin pop,mellow,indie rock,funk,hardcore,progressive metal,electronic,,,,swedish,progressive metal,lounge,jazz instrument,electronic,00s
,,,latin,lounge,,,70s,,,synthpop,latin,chill,rock nroll,,post punk,new wave,,,,,brazilian traditions,rock n roll,cool,guitar jazz,synthpop,70s
,,,dutch,alternative pop rock,,,,,,,brazilian traditions,chillout,garage rock,,heavy metal,alternative,,,,,latin,punk revival ,hardcore,jazz pop,,
,,,japanese,acid jazz,,,,,,,swedish,cool,punk rock,,punk,alternative indie rock,,,,,dutch,post punk,mellow,jazz,,
,,,,indie rock,,,,,,,dutch,jazz instrument,pop rock,,hardcore punk,,,,,,japanese,alternative,chill,,,
,,,,latin pop,,,,,,,,guitar jazz,hard rock,,hip hop,,,,,,,alternative indie rock,pop,,,
,,,,progressive metal,,,,,,,,guitar,,,,,,,,,,hip hop,funk,,,
,,,,rock nroll,,,,,,,,jazz,,,,,,,,,,power pop,punk,,,
,,,,punk revival,,,,,,,,,,,,,,,,,,punk rock,blues,,,
,,,,new wave,,,,,,,,,,,,,,,,,,heavy metal,guitar,,,
,,,,electronica,,,,,,,,,,,,,,,,,,garage rock,chillout,,,
,,,,alternative,,,,,,,,,,,,,,,,,,pop rock,,,,
,,,,alternative indie rock,,,,,,,,,,,,,,,,,,hard rock,,,,
,,,,hip hop,,,,,,,,,,,,,,,,,,hardcore punk,,,,
,,,,power pop,,,,,,,,,,,,,,,,,,female vocalists,,,,
,,,,post punk,,,,,,,,,,,,,,,,,,,,,,
,,,,electronic,,,,,,,,,,,,,,,,,,,,,,
,,,,punk rock,,,,,,,,,,,,,,,,,,,,,,
,,,,guitar jazz,,,,,,,,,,,,,,,,,,,,,,
,,,,jazz pop,,,,,,,,,,,,,,,,,,,,,,
,,,,blues,,,,,,,,,,,,,,,,,,,,,,
,,,,heavy metal,,,,,,,,,,,,,,,,,,,,,,
,,,,pop,,,,,,,,,,,,,,,,,,,,,,
,,,,punk,,,,,,,,,,,,,,,,,,,,,,
,,,,garage rock,,,,,,,,,,,,,,,,,,,,,,
,,,,synthpop,,,,,,,,,,,,,,,,,,,,,,
,,,,pop rock,,,,,,,,,,,,,,,,,,,,,,
,,,,funk,,,,,,,,,,,,,,,,,,,,,,
,,,,hard rock,,,,,,,,,,,,,,,,,,,,,,
,,,,jazz,,,,,,,,,,,,,,,,,,,,,,
,,,,hardcore punk,,,,,,,,,,,,,,,,,,,,,,
,,,,hardcore,,,,,,,,,,,,,,,,,,,,,,
,,,,mellow,,,,,,,,,,,,,,,,,,,,,,